id;semester;course;mark
u000001;2005/2;A06;SU
u000001;2005/2;A19;SU
u000001;2005/2;A11;SU
u000001;2005/2;A54;SU
u000001;2006/1;A46;SU
u000001;2006/1;A24;A
u000001;2006/2;A03;SU
u000001;2006/2;A53;NP
u000001;2006/2;A05;NP
u000002;2008/1;A21;NP
u000002;2008/2;A54;SU
u000002;2008/2;A35;A
u000002;2008/2;A28;A
u000003;2021/1;A11;NO
u000003;2021/1;A02;A
u000003;2022/1;A26;A
u000004;2021/1;A35;NO
u000004;2021/1;A33;A
u000004;2021/1;A42;A
u000004;2021/1;A55;SU
u000005;2003/1;A41;EX
u000005;2003/1;A21;SU
u000005;2003/2;A16;A
u000005;2003/2;A57;NP
u000005;2004/1;A48;A
u000006;2013/1;A15;NO
u000006;2013/1;A17;A
u000006;2013/1;A25;NP
u000007;2022/1;A59;SU
u000007;2022/1;A39;A
u000007;2022/1;A21;A
u000008;2013/1;A08;SU
u000008;2013/1;A04;NO
u000008;2013/1;A27;NO
u000008;2013/2;A58;SU
u000008;2013/2;A59;A
u000008;2014/1;A29;A
u000009;2020/1;A25;SU
u000009;2020/1;A02;A
u000009;2020/2;A17;NP
u000009;2020/2;A55;EX
u000009;2020/2;A21;SU
u000009;2021/2;A14;NO
u000010;2011/1;A04;SU
u000010;2011/1;A34;A
u000010;2011/1;A09;A
u000010;2011/2;A01;NO
u000010;2012/1;A14;EX
u000010;2012/1;A19;NO
u000010;2012/2;A47;NP
u000010;2013/2;A45;NO
u000010;2013/2;A32;A
u000010;2014/2;A57;NP
u000010;2014/2;A20;A
u000010;2015/1;A52;A
u000010;2015/1;A18;SU
u000010;2015/1;A46;A
u000010;2015/1;A27;A
u000010;2015/1;A58;NO
u000010;2015/2;A42;NO
u000010;2016/1;A47;A
u000010;2016/1;A30;SU
u000010;2017/1;A31;SU
u000010;2017/1;A16;NP
u000010;2017/1;A33;NP
u000010;2018/2;A43;NO
u000011;2012/1;A47;A
u000011;2012/2;A44;A
u000011;2012/2;A29;SU
u000011;2013/1;A18;A
u000011;2013/1;A22;NP
u000011;2013/1;A51;A
u000011;2013/2;A06;NP
u000011;2013/2;A42;A
u000012;2018/2;A21;A
u000012;2018/2;A49;SU
u000012;2019/1;A29;A
u000012;2019/1;A12;SU
u000012;2019/1;A19;NP
u000013;2010/1;A14;SU
u000013;2010/1;A17;SU
u000013;2010/1;A01;A
u000013;2010/2;A48;NP
u000013;2010/2;A54;SU
u000014;2000/1;A39;A
u000014;2000/1;A48;NO
u000014;2000/2;A24;SU
u000014;2000/2;A23;SU
u000014;2001/1;A23;NP
u000014;2001/1;A37;NO
u000014;2001/1;A04;A
u000014;2001/2;A55;SU
u000014;2001/2;A57;NO
u000014;2002/1;A49;NO
u000014;2002/1;A33;NO
u000014;2002/1;A31;A
u000014;2002/2;A32;A
u000014;2002/2;A56;NO
u000014;2002/2;A21;NO
u000014;2003/1;A29;A
