id;language;gender;year;degree;access
u000001;ES;F;1973;0;No
u000002;CA;F;1968;0;Started
u000003;ES;M;1966;0;Started
u000004;ES;M;1962;0;Yes
u000005;ES;F;1958;0;No
u000006;ES;F;1963;0;Started
u000007;CA;M;1967;1;Yes
u000008;ES;M;1973;0;Yes
u000009;CA;M;1961;1;No
u000010;ES;M;1965;0;Yes
u000011;ES;F;1967;0;Yes
u000012;CA;F;1970;0;No
u000013;CA;M;1963;0;Yes
u000014;ES;M;1967;1;Started
u000015;ES;M;1959;0;No
u000016;ES;M;1970;0;Started
u000017;CA;F;1967;1;Yes
u000018;ES;F;1964;0;Started
u000019;CA;M;1955;0;Yes
u000020;ES;M;1977;0;Yes
u000021;ES;M;1967;0;Started
u000022;ES;M;1966;0;Started
u000023;CA;F;1973;1;Started
u000024;CA;M;1966;0;Yes
u000025;CA;M;1966;0;No
u000026;ES;M;1975;0;Yes
u000027;ES;M;1962;0;No
u000028;ES;F;1967;0;No
u000029;ES;M;1968;1;Yes
u000030;CA;M;1968;0;No
u000031;CA;M;1970;0;Yes
u000032;ES;F;1971;0;Yes
u000033;ES;M;1964;0;Started
u000034;ES;F;1971;0;Started
u000035;ES;F;1962;0;Yes
u000036;CA;F;1969;0;Yes
u000037;CA;F;1972;0;Yes
u000038;CA;F;1963;0;No
u000039;ES;F;1977;0;Yes
u000040;ES;F;1970;0;Started
u000041;ES;M;1969;1;Started
u000042;CA;F;1964;0;Yes
u000043;ES;F;1957;0;Started
u000044;CA;M;1958;0;Started
u000045;ES;F;1963;0;Yes
u000046;CA;F;1967;0;No
u000047;CA;M;1967;0;Started
u000048;ES;M;1975;0;No
u000049;ES;M;1966;0;Started
u000050;ES;M;1967;0;No
u000051;ES;M;1962;1;Started
u000052;CA;M;1970;0;Yes
u000053;ES;F;1969;0;Started
u000054;CA;F;1962;0;Started
u000055;ES;F;1965;1;Yes
u000056;ES;M;1960;0;No
u000057;ES;M;1967;0;Started
u000058;CA;F;1962;1;Yes
u000059;CA;M;1966;1;Yes
u000060;CA;F;1965;0;Started
u000061;ES;F;1970;0;No
u000062;CA;M;1966;0;Started
u000063;ES;M;1971;0;No
u000064;ES;M;1973;0;Started
u000065;ES;F;1973;0;Started
u000066;CA;M;1970;0;Yes
u000067;ES;F;1972;1;Yes
u000068;ES;M;1969;0;Yes
u000069;ES;M;1975;0;Started
u000070;ES;F;1977;0;Started
u000071;ES;F;1971;1;No
u000072;CA;M;1969;0;No
u000073;ES;M;1978;1;No
u000074;ES;M;1965;0;Yes
u000075;ES;M;1970;1;No
u000076;ES;M;1966;0;Started
u000077;ES;F;1969;0;No
u000078;ES;F;1962;0;Yes
u000079;CA;M;1972;1;No
u000080;ES;M;1968;0;Started
u000081;CA;M;1974;0;Started
u000082;ES;F;1967;0;Started
u000083;ES;M;1967;1;Yes
u000084;ES;F;1957;0;Yes
u000085;ES;M;1967;0;Started
u000086;CA;F;1969;0;No
u000087;ES;F;1970;0;Yes
u000088;ES;F;1967;0;Yes
u000089;CA;F;1970;0;No
u000090;CA;M;1975;0;Yes
u000091;ES;M;1976;1;Started
u000092;ES;M;1966;0;Started
u000093;CA;M;1961;0;Started
u000094;ES;M;1960;1;Started
u000095;ES;M;1968;0;Started
u000096;ES;F;1964;0;Started
u000097;ES;F;1966;0;Started
u000098;ES;M;1963;0;Yes
u000099;ES;F;1965;0;Started
u000100;CA;M;1971;1;Started
u000101;ES;M;1966;0;Started
u000102;CA;M;1966;0;No
u000103;CA;M;1973;1;Yes
u000104;ES;F;1971;0;Started
u000105;ES;M;1970;0;Started
u000106;CA;M;1965;0;Started
u000107;ES;F;1965;0;Yes
u000108;ES;M;1956;0;Yes
u000109;CA;M;1968;0;Started
u000110;CA;M;1965;0;Started
u000111;ES;M;1975;0;Yes
u000112;ES;M;1973;0;Started
u000113;ES;F;1964;0;Yes
u000114;ES;M;1967;1;Started
u000115;ES;M;1965;0;Yes
u000116;ES;M;1974;1;Yes
u000117;ES;F;1974;1;No
u000118;ES;F;1966;0;Yes
u000119;ES;M;1965;0;Yes
u000120;ES;F;1973;0;Yes
u000121;CA;M;1967;0;Yes
u000122;ES;M;1977;0;Started
u000123;ES;M;1967;0;Yes
u000124;ES;M;1962;0;Started
u000125;ES;M;1967;1;No
u000126;CA;F;1968;1;No
u000127;CA;M;1965;0;Yes
u000128;CA;F;1964;1;Started
u000129;ES;M;1975;0;Yes
u000130;CA;M;1958;1;Yes
u000131;CA;M;1977;1;No
u000132;ES;F;1969;0;Started
